date,home_team,away_team,home_goals,away_goals
2024-12-14,SC Farense,Gil Vicente FC,0,1
2024-12-14,CD Nacional,Moreirense FC,1,0
2024-12-14,Sporting Clube de Portugal,Boavista FC,3,2
2024-12-15,FC Arouca,CD Santa Clara,1,0
2024-12-15,AVS,Sport Lisboa e Benfica,1,1
2024-12-15,GD Estoril Praia,Casa Pia AC,0,2
2024-12-16,Sporting Clube de Braga,FC Famalicão,3,3
2024-12-16,FC Porto,CF Estrela da Amadora,2,0
2024-12-16,Rio Ave FC,Vitória SC,2,2
2024-12-19,CD Nacional,Sport Lisboa e Benfica,0,2
2024-12-20,Casa Pia AC,FC Arouca,3,1
2024-12-21,FC Famalicão,SC Farense,1,2
2024-12-21,Boavista FC,AVS,0,0
2024-12-21,Moreirense FC,FC Porto,0,3
2024-12-22,CD Santa Clara,Sporting Clube de Braga,0,2
2024-12-22,Gil Vicente FC,Sporting Clube de Portugal,0,0
2024-12-23,Sport Lisboa e Benfica,GD Estoril Praia,3,0
2024-12-23,Vitória SC,CD Nacional,2,2
2024-12-23,CF Estrela da Amadora,Rio Ave FC,1,0
2024-12-27,FC Arouca,Gil Vicente FC,1,1
2024-12-28,AVS,CF Estrela da Amadora,1,1
2024-12-28,GD Estoril Praia,Moreirense FC,2,2
2024-12-28,FC Porto,Boavista FC,4,0
2024-12-29,SC Farense,Vitória SC,2,2
2024-12-29,Rio Ave FC,CD Nacional,2,1
2024-12-29,Sporting Clube de Braga,Casa Pia AC,1,2
2024-12-29,Sporting Clube de Portugal,Sport Lisboa e Benfica,1,0
2024-12-30,FC Famalicão,CD Santa Clara,1,2
2025-01-03,Vitória SC,Sporting Clube de Portugal,4,4
2025-01-04,Moreirense FC,AVS,1,1
2025-01-04,Sport Lisboa e Benfica,Sporting Clube de Braga,1,2
2025-01-04,Boavista FC,FC Arouca,1,3
2025-01-05,CD Santa Clara,SC Farense,0,0
2025-01-05,Casa Pia AC,FC Famalicão,1,1
2025-01-05,CF Estrela da Amadora,GD Estoril Praia,2,4
2025-01-06,Gil Vicente FC,Rio Ave FC,1,1
2025-01-12,CD Nacional,FC Porto,2,0
2025-01-17,Sport Lisboa e Benfica,FC Famalicão,4,0
2025-01-18,CD Santa Clara,GD Estoril Praia,2,3
2025-01-18,Rio Ave FC,Sporting Clube de Portugal,0,3
2025-01-18,Vitória SC,FC Arouca,2,2
2025-01-19,CD Nacional,AVS,3,1
2025-01-19,Moreirense FC,SC Farense,0,0
2025-01-19,CF Estrela da Amadora,Sporting Clube de Braga,0,1
2025-01-19,Gil Vicente FC,FC Porto,3,1
2025-01-20,Boavista FC,Casa Pia AC,2,3
2025-01-24,FC Arouca,Moreirense FC,1,0
2025-01-25,FC Famalicão,CF Estrela da Amadora,0,0
2025-01-25,SC Farense,Rio Ave FC,1,2
2025-01-25,Casa Pia AC,Sport Lisboa e Benfica,3,1
2025-01-25,Sporting Clube de Portugal,CD Nacional,2,0
2025-01-26,GD Estoril Praia,Vitória SC,1,0
2025-01-26,FC Porto,CD Santa Clara,1,1
2025-01-26,Sporting Clube de Braga,Boavista FC,3,0
2025-01-27,AVS,Gil Vicente FC,1,0
2025-01-31,Boavista FC,FC Famalicão,0,2
2025-02-01,CD Nacional,FC Arouca,1,2
2025-02-01,CD Santa Clara,Casa Pia AC,2,1
2025-02-01,Gil Vicente FC,GD Estoril Praia,1,2
2025-02-01,Vitória SC,AVS,2,0
2025-02-02,Sporting Clube de Portugal,SC Farense,3,1
